,Company,Title,Location,Time
270,Sparkmetrics Solutions,Hiring For Data Analyst Trainee,"Navi Mumbai, Maharashtra, India",1 day ago
271,BeGig,Data Quality Analyst - R/Python,Greater Kolkata Area,1 day ago
272,Amazon,"Business Analyst, WHS Data","Bengaluru, Karnataka, India",3 weeks ago
273,EY,Metrics and Reporting Analyst,"Bengaluru, Karnataka, India",3 weeks ago
274,Gigafactor Solutions,Data Analyst or Analytics Trainee,"Chennai, Tamil Nadu, India",3 weeks ago
275,Solvers India,Data Visualization,"Haryana, India",3 days ago
276,Innovateshield Solutions,Data Analyst or Analytics Trainee,"Chennai, Tamil Nadu, India",1 day ago
277,RecroconX Technologies,Data Analytics Traineeship,"Chennai, Tamil Nadu, India",1 day ago
278,SMS-Magic,Data Analyst/Operations Intern,"Pune, Maharashtra, India",1 week ago
279,JPMorganChase,Client Data Analyst,"Bengaluru, Karnataka, India",3 weeks ago
280,PrimefactorX,Data Analytics Intern,"Bengaluru, Karnataka, India",2 days ago
281,PrimefactorX,Data Analytics Intern,"Visakhapatnam Rural mandal, India",2 weeks ago
282,Moglix,Moglix - Data Analyst - Power BI,"Noida, Uttar Pradesh, India",4 days ago
283,Solvers India,Data Analyst - Immediate Joiner (Delhi),"Delhi, Delhi, India",2 weeks ago
284,SAZ India- Complete Career Solutions,Data Analytics Trainee,"Bengaluru, Karnataka, India",1 day ago
285,Sparkmetrics Solutions,SQL Developers Apprentice Needed,"Bengaluru, Karnataka, India",2 weeks ago
286,Gigafactor Solutions,Hiring Data Analytics Intern,"Nashik, Maharashtra, India",2 weeks ago
287,Intellistaff Services Pvt. Ltd,Data Analyst,Greater Kolkata Area,2 days ago
288,Inspire,People Intelligence Analyst [T500-15385],"Hyderabad, Telangana, India",1 day ago
289,Patra Corporation,Data Analyst 1,"Hyderabad, Telangana, India",2 weeks ago
290,MSCI Inc.,ESG Python Data Analyst,Mumbai Metropolitan Region,3 weeks ago
291,Unified Mentor Private Limited,Data Analyst Intern,"Pune, Maharashtra, India",2 weeks ago
292,Sparkmetrics Solutions,SQL Developer Apprentice-Fresher,"Pune, Maharashtra, India",3 weeks ago
293,thinkbridge,Senior Data Analyst,India,2 weeks ago
294,Bytemetrics Solutions,Required Data Analyst Trainee,"Coimbatore, Tamil Nadu, India",3 weeks ago
295,EXL,Vector DB Engineer,"Bangalore Urban, Karnataka, India",3 weeks ago
296,PrimefactorX,Hiring Data Analyst Intern,"Hyderabad, Telangana, India",2 weeks ago
297,American Express Global Business Travel,Data Analyst/ Analytics Engineer,"Gurgaon, Haryana, India",2 weeks ago
298,PrimefactorX,Data Analyst and Analysis Intern-1,"Hyderabad, Telangana, India",1 day ago
